tau,lh,seed,task,bpm,n_strikes,success_rate,abs_err_ms_mean,err_ms_mean,err_ms_std,peak_force_mean,miss_rate_force,force_threshold_N,file
1.0,1.0,2,gmd_04_extreme_bpm170,170.0,44,0.6590909090909091,13.437807559967041,-6.562650203704612,15.577298751349314,78.15852025693113,0.2727272727272727,1.0,eval_logs_tau_sweep/2026-07-17_12-14-31_tau1.0_lh1.0_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,0.5,2,double_160bpm,160.0,72,0.625,24.167128735118457,-16.805878943867192,33.89467903380202,18.410321270426113,0.0,1.0,eval_logs_tau_sweep/2026-07-17_17-04-38_tau2.0_lh0.5_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,0.5,2,gmd_03_high_bpm138,138.0,45,0.6888888888888889,22.05174702864442,-16.410592274788158,27.33742314380849,18.236323388417564,0.13333333333333333,1.0,eval_logs_tau_sweep/2026-07-17_17-04-38_tau2.0_lh0.5_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,0.5,2,gmd_04_extreme_bpm170,170.0,44,0.5454545454545454,16.55208653417116,-14.483098326058116,12.771944177828939,9.507039091803811,0.3409090909090909,1.0,eval_logs_tau_sweep/2026-07-17_17-04-38_tau2.0_lh0.5_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,1.0,2,double_160bpm,160.0,72,0.7222222222222222,17.361412445704268,-12.222422493828699,19.226335295819087,13.123120533095467,0.0,1.0,eval_logs_tau_sweep/2026-07-17_21-55-29_tau2.0_lh1.0_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,1.0,2,gmd_03_high_bpm138,138.0,45,0.5333333333333333,17.273064815636655,-16.666990337949574,16.040624417553257,115.01468461884393,0.26666666666666666,1.0,eval_logs_tau_sweep/2026-07-17_21-55-29_tau2.0_lh1.0_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,1.0,2,gmd_04_extreme_bpm170,170.0,44,0.7045454545454546,15.882716459386488,-3.5294925465304354,20.506544269483737,4.380835603583943,0.22727272727272727,1.0,eval_logs_tau_sweep/2026-07-17_21-55-29_tau2.0_lh1.0_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,2.0,2,double_160bpm,160.0,72,0.8888888888888888,13.958614733484062,-5.902934405538826,22.271642444882133,31.637756052944397,0.0,1.0,eval_logs_tau_sweep/2026-07-18_02-45-37_tau2.0_lh2.0_seed2/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,2.0,2,gmd_03_high_bpm138,138.0,45,0.7555555555555555,12.162427644471387,-8.378557256750042,13.388421777304705,15.391882403691609,0.17777777777777778,1.0,eval_logs_tau_sweep/2026-07-18_02-45-37_tau2.0_lh2.0_seed2/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,2.0,2,gmd_04_extreme_bpm170,170.0,44,0.75,14.730057200870167,-9.8650809880849,15.29769980059364,10.511047626083547,0.1590909090909091,1.0,eval_logs_tau_sweep/2026-07-18_02-45-37_tau2.0_lh2.0_seed2/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
0.5,0.1,3,double_160bpm,160.0,72,0.8333333333333334,13.214523451668825,-1.92857469831198,22.03945880591853,14.650013173619906,0.027777777777777776,1.0,eval_logs_tau_sweep/2026-07-18_07-36-08_tau0.5_lh0.1_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
0.5,0.1,3,gmd_03_high_bpm138,138.0,45,0.6444444444444445,25.3035119085601,15.909379178827363,48.37212259640163,217.90386220084295,0.26666666666666666,1.0,eval_logs_tau_sweep/2026-07-18_07-36-08_tau0.5_lh0.1_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
