strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,tau,lh,seed,task,bpm,source
42,4.890064239501953,4.890064239501953,0.0,9.92901611328125,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
43,4.970066070556641,4.860063552856445,-110.00251770019531,12.431970596313477,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
44,5.250072479248047,5.240072250366211,-10.000228881835938,11.673973083496094,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
45,5.350074768066406,5.355074882507324,5.000114440917969,6.863738536834717,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
46,5.6300811767578125,5.615080833435059,-15.000343322753906,18.53049659729004,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
47,5.730083465576172,5.720083236694336,-10.000228881835938,18.841161727905277,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
48,1.509998798370361,1.5199987888336182,9.999990463257058,9.79698657989502,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
49,1.6099987030029297,1.6199986934661863,9.999990463256614,6.449053287506104,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
50,1.889998435974121,1.8499984741210935,-39.999961853027564,18.810714721679688,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
51,1.969998359680176,1.949998378753662,-19.999980926513892,18.015817642211918,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
52,2.2500040531158447,2.210003137588501,-40.00091552734375,19.01683807373047,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
53,2.350006341934204,2.3150055408477783,-35.00080108642578,17.53042984008789,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
54,2.6300127506256104,2.5900118350982666,-40.00091552734375,19.19007682800293,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
55,2.7300150394439697,2.725014925003052,-5.000114440917525,20.388721466064453,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
56,3.010021448135376,2.970020532608032,-40.00091552734419,19.232685089111328,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
57,3.110023736953736,3.095023393630981,-15.000343322754794,7.054931640625,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
58,3.3900301456451416,3.400030374526977,10.000228881835493,18.074851989746094,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
59,3.470031976699829,3.485032320022583,15.000343322753906,13.268848419189451,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
60,3.7700388431549072,3.7600386142730713,-10.000228881835938,11.925549507141112,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
61,3.8500406742095943,3.730037927627564,-120.00274658203037,19.32142448425293,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
62,4.130046844482422,4.090045928955078,-40.00091552734375,19.419322967529297,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
63,4.230049133300781,4.235049247741699,5.000114440917969,13.254695892333984,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
64,4.510055541992188,4.470054626464844,-40.00091552734464,19.222618103027344,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
65,4.610057830810547,4.595057487487793,-15.000343322753906,7.053445816040039,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
66,4.890064239501953,4.895064353942871,5.000114440917969,18.61481666564941,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
67,4.970066070556641,4.850063323974609,-120.00274658203125,18.68134880065918,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
68,5.250072479248047,5.210071563720703,-40.00091552734375,18.858875274658203,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
69,5.350074768066406,5.375075340270996,25.000572204589844,9.773524284362791,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
70,5.6300811767578125,5.615080833435059,-15.000343322753906,18.61986351013184,True,1.0,0.5,3,double_160bpm,160.0,sim_tau
71,5.730083465576172,5.700082778930664,-30.000686645507812,10.753592491149902,False,1.0,0.5,3,double_160bpm,160.0,sim_tau
0,0.4299997389316559,0.3999997675418854,-29.999971389770508,14.966999053955078,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
1,0.749999463558197,0.7449994683265686,-4.999995231628418,43.05509185791016,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
2,0.9699992537498474,0.9799992442131042,9.999990463256836,9.175583839416504,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
3,1.6299986839294434,1.5999987125396729,-29.999971389770508,29.8151969909668,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
4,2.170002222061157,2.190002679824829,20.00045776367232,2.203500747680664,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
5,2.510010004043579,2.540010690689087,30.000686645507812,19.680892944335938,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
6,2.710014581680298,2.675013780593872,-35.00080108642578,21.552778244018555,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
7,3.030021905899048,3.020021677017212,-10.000228881835938,20.60560417175293,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
8,3.3700296878814697,3.340029001235962,-30.000686645507812,177.87188720703125,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
9,3.490032434463501,3.480032205581665,-10.000228881835938,11.085987091064451,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
10,4.230049133300781,4.235049247741699,5.000114440917969,11.739730834960938,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
11,4.450054168701172,4.440053939819336,-10.000228881835938,27.225231170654297,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
12,4.9900665283203125,4.995066642761231,5.000114440918857,10.60800552368164,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
13,5.290073394775391,5.3150739669799805,25.000572204589844,2.1836371421813965,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
14,5.6300811767578125,,,0.0,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
15,5.930088043212891,5.930088043212891,0.0,12.20957851409912,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
16,6.170093536376953,6.170093536376953,0.0,13.396934509277344,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
17,6.710105895996094,6.715106010437012,5.000114440917969,15.081344604492188,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
18,7.010112762451172,7.005112648010254,-5.000114440917969,11.737112998962402,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
19,7.370121002197266,7.36012077331543,-10.000228881835938,14.60085678100586,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
20,7.710128784179687,7.685128211975098,-25.000572204588956,17.16025733947754,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
21,7.95013427734375,7.945134162902832,-5.000114440917969,16.100637435913086,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
22,8.230140686035156,8.235140800476074,5.000114440917969,9.6249418258667,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
23,8.570148468017578,8.56514835357666,-5.000114440917969,9.199857711791992,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
24,8.670150756835938,8.650150299072266,-20.000457763671875,16.55236053466797,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
25,9.13016128540039,9.125161170959473,-5.000114440917969,9.407779693603516,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
26,9.45016860961914,9.42516803741455,-25.000572204589844,18.621713638305664,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
27,9.690174102783203,9.655173301696776,-35.00080108642756,16.482690811157227,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
28,10.010181427001951,9.97018051147461,-40.000915527341974,18.22257423400879,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
29,10.330188751220703,10.320188522338867,-10.000228881835938,28.49415779113769,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
30,10.890201568603516,10.860200881958008,-30.000686645507812,24.750919342041016,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
31,11.210208892822266,11.230209350585938,20.000457763671875,10.343425750732422,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
32,11.430213928222656,11.400213241577148,-30.000686645507812,40.77855682373047,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
33,11.970226287841797,11.980226516723633,10.000228881835938,6.844160556793213,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
34,12.270233154296877,12.25523281097412,-15.000343322757459,13.74261474609375,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
35,12.610240936279297,12.60024070739746,-10.000228881837714,13.98673152923584,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
36,12.910247802734377,12.915247917175291,5.000114440914416,13.021147727966309,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
37,13.670265197753906,13.665265083312988,-5.000114440917969,8.027576446533203,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
38,13.950271606445312,13.960271835327148,10.000228881835938,10.268619537353516,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
39,14.330280303955078,14.305279731750488,-25.000572204589844,20.22467041015625,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
40,14.650287628173828,14.640287399291992,-10.000228881835938,21.232009887695312,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
41,14.89029312133789,,,0.0,False,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
42,15.21030044555664,15.195300102233888,-15.00034332275213,13.023260116577148,True,1.0,0.5,3,gmd_03_high_bpm138,138.0,sim_tau
